Condition,Algorithm,ConsumerType,ProviderType,RecommenderType,ConsumerUtility,ProviderUtility
Cold Start,Threshold,General,General,General,0.0681082884943741,14374
Cold Start,Threshold,General,General,Niche,0.0681082884943741,5834
Cold Start,Threshold,General,Niche,General,0.0681082884943741,0
Cold Start,Threshold,General,Niche,Niche,0.0681082884943741,1583
Cold Start,Threshold,Niche,General,General,0.1688355022532064,14374
Cold Start,Threshold,Niche,General,Niche,0.1688355022532064,5834
Cold Start,Threshold,Niche,Niche,General,0.1688355022532064,0
Cold Start,Threshold,Niche,Niche,Niche,0.1688355022532064,1583
User Ownership,Threshold,General,General,General,0.078088682067554,14174
User Ownership,Threshold,General,General,Niche,0.078088682067554,19719
User Ownership,Threshold,General,Niche,General,0.078088682067554,0
User Ownership,Threshold,General,Niche,Niche,0.078088682067554,3118
User Ownership,Threshold,Niche,General,General,0.1652538434206558,14174
User Ownership,Threshold,Niche,General,Niche,0.1652538434206558,19719
User Ownership,Threshold,Niche,Niche,General,0.1652538434206558,0
User Ownership,Threshold,Niche,Niche,Niche,0.1652538434206558,3118
Universal Profile,Threshold,General,General,General,0.1020938381798124,55039
Universal Profile,Threshold,General,General,Niche,0.1020938381798124,8304
Universal Profile,Threshold,General,Niche,General,0.1020938381798124,8
Universal Profile,Threshold,General,Niche,Niche,0.1020938381798124,1101
Universal Profile,Threshold,Niche,General,General,0.1642080281965694,55039
Universal Profile,Threshold,Niche,General,Niche,0.1642080281965694,8304
Universal Profile,Threshold,Niche,Niche,General,0.1642080281965694,8
Universal Profile,Threshold,Niche,Niche,Niche,0.1642080281965694,1101
Algorithm-Specific,Threshold,General,General,General,0.104055605857914,56208
Algorithm-Specific,Threshold,General,General,Niche,0.104055605857914,4814
Algorithm-Specific,Threshold,General,Niche,General,0.104055605857914,4
Algorithm-Specific,Threshold,General,Niche,Niche,0.104055605857914,1177
Algorithm-Specific,Threshold,Niche,General,General,0.1715658750009767,56208
Algorithm-Specific,Threshold,Niche,General,Niche,0.1715658750009767,4814
Algorithm-Specific,Threshold,Niche,Niche,General,0.1715658750009767,4
Algorithm-Specific,Threshold,Niche,Niche,Niche,0.1715658750009767,1177
Cold Start,UCB,General,General,General,0.0504749909857727,22558
Cold Start,UCB,General,General,Niche,0.0504749909857727,8256
Cold Start,UCB,General,Niche,General,0.0504749909857727,0
Cold Start,UCB,General,Niche,Niche,0.0504749909857727,2526
Cold Start,UCB,Niche,General,General,0.1992730008516895,22558
Cold Start,UCB,Niche,General,Niche,0.1992730008516895,8256
Cold Start,UCB,Niche,Niche,General,0.1992730008516895,0
Cold Start,UCB,Niche,Niche,Niche,0.1992730008516895,2526
User Ownership,UCB,General,General,General,0.0636764496277417,22721
User Ownership,UCB,General,General,Niche,0.0636764496277417,29353
User Ownership,UCB,General,Niche,General,0.0636764496277417,0
User Ownership,UCB,General,Niche,Niche,0.0636764496277417,4429
User Ownership,UCB,Niche,General,General,0.1801629681650438,22721
User Ownership,UCB,Niche,General,Niche,0.1801629681650438,29353
User Ownership,UCB,Niche,Niche,General,0.1801629681650438,0
User Ownership,UCB,Niche,Niche,Niche,0.1801629681650438,4429
Universal Profile,UCB,General,General,General,0.0633383603257326,63464
Universal Profile,UCB,General,General,Niche,0.0633383603257326,18016
Universal Profile,UCB,General,Niche,General,0.0633383603257326,24
Universal Profile,UCB,General,Niche,Niche,0.0633383603257326,2454
Universal Profile,UCB,Niche,General,General,0.1731598225293279,63464
Universal Profile,UCB,Niche,General,Niche,0.1731598225293279,18016
Universal Profile,UCB,Niche,Niche,General,0.1731598225293279,24
Universal Profile,UCB,Niche,Niche,Niche,0.1731598225293279,2454
Algorithm-Specific,UCB,General,General,General,0.0505994192180675,64336
Algorithm-Specific,UCB,General,General,Niche,0.0505994192180675,7463
Algorithm-Specific,UCB,General,Niche,General,0.0505994192180675,13
Algorithm-Specific,UCB,General,Niche,Niche,0.0505994192180675,2184
Algorithm-Specific,UCB,Niche,General,General,0.1823096467383319,64336
Algorithm-Specific,UCB,Niche,General,Niche,0.1823096467383319,7463
Algorithm-Specific,UCB,Niche,Niche,General,0.1823096467383319,13
Algorithm-Specific,UCB,Niche,Niche,Niche,0.1823096467383319,2184
