controlled_prov,controlled_rec,clicks,scenario,algorithm,Condition,Method
General,General,29518,ml-1m-ucb-switching_threshold_switching_algorithm_specific_profile,Threshold,Algorithm-Specific,General (General)
General,Niche,2404,ml-1m-ucb-switching_threshold_switching_algorithm_specific_profile,Threshold,Algorithm-Specific,General (Niche)
Niche,General,2,ml-1m-ucb-switching_threshold_switching_algorithm_specific_profile,Threshold,Algorithm-Specific,Niche (General)
Niche,Niche,567,ml-1m-ucb-switching_threshold_switching_algorithm_specific_profile,Threshold,Algorithm-Specific,Niche (Niche)
General,General,26690,ml-1m-ucb-switching_threshold_switching_algorithm_specific_profile,Threshold,Algorithm-Specific,General (General)
General,Niche,2410,ml-1m-ucb-switching_threshold_switching_algorithm_specific_profile,Threshold,Algorithm-Specific,General (Niche)
Niche,General,2,ml-1m-ucb-switching_threshold_switching_algorithm_specific_profile,Threshold,Algorithm-Specific,Niche (General)
Niche,Niche,610,ml-1m-ucb-switching_threshold_switching_algorithm_specific_profile,Threshold,Algorithm-Specific,Niche (Niche)
General,General,4195,ml-1m-ucb-switching_threshold_switching_cold_start,Threshold,Cold Start,General (General)
General,Niche,2882,ml-1m-ucb-switching_threshold_switching_cold_start,Threshold,Cold Start,General (Niche)
Niche,General,0,ml-1m-ucb-switching_threshold_switching_cold_start,Threshold,Cold Start,Niche (General)
Niche,Niche,849,ml-1m-ucb-switching_threshold_switching_cold_start,Threshold,Cold Start,Niche (Niche)
General,General,10179,ml-1m-ucb-switching_threshold_switching_cold_start,Threshold,Cold Start,General (General)
General,Niche,2952,ml-1m-ucb-switching_threshold_switching_cold_start,Threshold,Cold Start,General (Niche)
Niche,General,0,ml-1m-ucb-switching_threshold_switching_cold_start,Threshold,Cold Start,Niche (General)
Niche,Niche,734,ml-1m-ucb-switching_threshold_switching_cold_start,Threshold,Cold Start,Niche (Niche)
General,General,28193,ml-1m-ucb-switching_threshold_switching_universal_profile,Threshold,Universal Profile,General (General)
General,Niche,4311,ml-1m-ucb-switching_threshold_switching_universal_profile,Threshold,Universal Profile,General (Niche)
Niche,General,8,ml-1m-ucb-switching_threshold_switching_universal_profile,Threshold,Universal Profile,Niche (General)
Niche,Niche,624,ml-1m-ucb-switching_threshold_switching_universal_profile,Threshold,Universal Profile,Niche (Niche)
General,General,26846,ml-1m-ucb-switching_threshold_switching_universal_profile,Threshold,Universal Profile,General (General)
General,Niche,3993,ml-1m-ucb-switching_threshold_switching_universal_profile,Threshold,Universal Profile,General (Niche)
Niche,General,0,ml-1m-ucb-switching_threshold_switching_universal_profile,Threshold,Universal Profile,Niche (General)
Niche,Niche,477,ml-1m-ucb-switching_threshold_switching_universal_profile,Threshold,Universal Profile,Niche (Niche)
General,General,3969,ml-1m-ucb-switching_threshold_switching_user_ownership,Threshold,User Ownership,General (General)
General,Niche,11484,ml-1m-ucb-switching_threshold_switching_user_ownership,Threshold,User Ownership,General (Niche)
Niche,General,0,ml-1m-ucb-switching_threshold_switching_user_ownership,Threshold,User Ownership,Niche (General)
Niche,Niche,1886,ml-1m-ucb-switching_threshold_switching_user_ownership,Threshold,User Ownership,Niche (Niche)
General,General,10205,ml-1m-ucb-switching_threshold_switching_user_ownership,Threshold,User Ownership,General (General)
General,Niche,8235,ml-1m-ucb-switching_threshold_switching_user_ownership,Threshold,User Ownership,General (Niche)
Niche,General,0,ml-1m-ucb-switching_threshold_switching_user_ownership,Threshold,User Ownership,Niche (General)
Niche,Niche,1232,ml-1m-ucb-switching_threshold_switching_user_ownership,Threshold,User Ownership,Niche (Niche)
General,General,29518,ml-1m-ucb-switching_ucb_switching_algorithm_specific_profile,UCB,Algorithm-Specific,General (General)
General,Niche,2404,ml-1m-ucb-switching_ucb_switching_algorithm_specific_profile,UCB,Algorithm-Specific,General (Niche)
Niche,General,2,ml-1m-ucb-switching_ucb_switching_algorithm_specific_profile,UCB,Algorithm-Specific,Niche (General)
Niche,Niche,567,ml-1m-ucb-switching_ucb_switching_algorithm_specific_profile,UCB,Algorithm-Specific,Niche (Niche)
General,General,26690,ml-1m-ucb-switching_ucb_switching_algorithm_specific_profile,UCB,Algorithm-Specific,General (General)
General,Niche,2410,ml-1m-ucb-switching_ucb_switching_algorithm_specific_profile,UCB,Algorithm-Specific,General (Niche)
Niche,General,2,ml-1m-ucb-switching_ucb_switching_algorithm_specific_profile,UCB,Algorithm-Specific,Niche (General)
Niche,Niche,610,ml-1m-ucb-switching_ucb_switching_algorithm_specific_profile,UCB,Algorithm-Specific,Niche (Niche)
General,General,8128,ml-1m-ucb-switching_ucb_switching_algorithm_specific_profile,UCB,Algorithm-Specific,General (General)
General,Niche,2649,ml-1m-ucb-switching_ucb_switching_algorithm_specific_profile,UCB,Algorithm-Specific,General (Niche)
Niche,General,9,ml-1m-ucb-switching_ucb_switching_algorithm_specific_profile,UCB,Algorithm-Specific,Niche (General)
Niche,Niche,1007,ml-1m-ucb-switching_ucb_switching_algorithm_specific_profile,UCB,Algorithm-Specific,Niche (Niche)
General,General,4195,ml-1m-ucb-switching_ucb_switching_cold_start,UCB,Cold Start,General (General)
General,Niche,2882,ml-1m-ucb-switching_ucb_switching_cold_start,UCB,Cold Start,General (Niche)
Niche,General,0,ml-1m-ucb-switching_ucb_switching_cold_start,UCB,Cold Start,Niche (General)
Niche,Niche,849,ml-1m-ucb-switching_ucb_switching_cold_start,UCB,Cold Start,Niche (Niche)
General,General,10179,ml-1m-ucb-switching_ucb_switching_cold_start,UCB,Cold Start,General (General)
General,Niche,2952,ml-1m-ucb-switching_ucb_switching_cold_start,UCB,Cold Start,General (Niche)
Niche,General,0,ml-1m-ucb-switching_ucb_switching_cold_start,UCB,Cold Start,Niche (General)
Niche,Niche,734,ml-1m-ucb-switching_ucb_switching_cold_start,UCB,Cold Start,Niche (Niche)
General,General,8184,ml-1m-ucb-switching_ucb_switching_cold_start,UCB,Cold Start,General (General)
General,Niche,2422,ml-1m-ucb-switching_ucb_switching_cold_start,UCB,Cold Start,General (Niche)
Niche,General,0,ml-1m-ucb-switching_ucb_switching_cold_start,UCB,Cold Start,Niche (General)
Niche,Niche,943,ml-1m-ucb-switching_ucb_switching_cold_start,UCB,Cold Start,Niche (Niche)
General,General,28193,ml-1m-ucb-switching_ucb_switching_universal_profile,UCB,Universal Profile,General (General)
General,Niche,4311,ml-1m-ucb-switching_ucb_switching_universal_profile,UCB,Universal Profile,General (Niche)
Niche,General,8,ml-1m-ucb-switching_ucb_switching_universal_profile,UCB,Universal Profile,Niche (General)
Niche,Niche,624,ml-1m-ucb-switching_ucb_switching_universal_profile,UCB,Universal Profile,Niche (Niche)
General,General,26846,ml-1m-ucb-switching_ucb_switching_universal_profile,UCB,Universal Profile,General (General)
General,Niche,3993,ml-1m-ucb-switching_ucb_switching_universal_profile,UCB,Universal Profile,General (Niche)
Niche,General,0,ml-1m-ucb-switching_ucb_switching_universal_profile,UCB,Universal Profile,Niche (General)
Niche,Niche,477,ml-1m-ucb-switching_ucb_switching_universal_profile,UCB,Universal Profile,Niche (Niche)
General,General,8425,ml-1m-ucb-switching_ucb_switching_universal_profile,UCB,Universal Profile,General (General)
General,Niche,9712,ml-1m-ucb-switching_ucb_switching_universal_profile,UCB,Universal Profile,General (Niche)
Niche,General,16,ml-1m-ucb-switching_ucb_switching_universal_profile,UCB,Universal Profile,Niche (General)
Niche,Niche,1353,ml-1m-ucb-switching_ucb_switching_universal_profile,UCB,Universal Profile,Niche (Niche)
General,General,3969,ml-1m-ucb-switching_ucb_switching_user_ownership,UCB,User Ownership,General (General)
General,Niche,11484,ml-1m-ucb-switching_ucb_switching_user_ownership,UCB,User Ownership,General (Niche)
Niche,General,0,ml-1m-ucb-switching_ucb_switching_user_ownership,UCB,User Ownership,Niche (General)
Niche,Niche,1886,ml-1m-ucb-switching_ucb_switching_user_ownership,UCB,User Ownership,Niche (Niche)
General,General,10205,ml-1m-ucb-switching_ucb_switching_user_ownership,UCB,User Ownership,General (General)
General,Niche,8235,ml-1m-ucb-switching_ucb_switching_user_ownership,UCB,User Ownership,General (Niche)
Niche,General,0,ml-1m-ucb-switching_ucb_switching_user_ownership,UCB,User Ownership,Niche (General)
Niche,Niche,1232,ml-1m-ucb-switching_ucb_switching_user_ownership,UCB,User Ownership,Niche (Niche)
