user_id,country,gender,continent
580456383,,M,
529371807,Brazil,M,South America
418578276,United States,M,North America
107157311,Iceland,M,Europe
346350882,United States,F,North America
401231520,,F,
196229001,Italy,M,Europe
652706871,Lithuania,M,Europe
135837784,United Kingdom,F,Europe
924832087,Brazil,F,South America
133473995,Brazil,M,South America
686446092,,M,
53447154,United States,M,North America
340282920,United Kingdom,F,Europe
31808440,,M,
974230707,United States,M,North America
706054961,Netherlands,F,Europe
835891304,United States,M,North America
313634231,,F,
317255940,United States,M,North America
123997258,Italy,M,Europe
851349896,Finland,M,Europe
15549531,United States,F,North America
736405367,Netherlands,F,Europe
515118505,Bosnia and Herzegovina,F,Europe
554771551,United States,M,North America
636988270,Trinidad and Tobago,F,North America
572944062,Germany,M,Europe
863622843,Australia,M,Oceania
94138268,United Kingdom,F,Europe
180343379,,M,
621710173,Chile,M,South America
99508451,,M,
177604946,,M,
718962240,United States,F,North America
982848593,Turkey,M,Asia
775086500,Brazil,F,South America
198302277,,F,
812465924,India,M,Asia
144231082,Åland Islands,M,Europe
560180467,,F,
500084002,Antarctica,M,Antarctica
544327784,Portugal,M,Europe
393605483,Russian Federation,M,Europe
928340718,New Zealand,M,Oceania
394856094,Poland,F,Europe
202434183,United States,M,North America
437382045,,F,
86279876,Brazil,M,South America
685635332,Viet Nam,F,Asia
763858990,Brazil,M,South America
877608205,Brazil,F,South America
535146439,Japan,F,Asia
739883053,Greece,M,Europe
20565311,Brazil,F,South America
744135740,,M,
834352660,Brazil,F,South America
875595262,Australia,F,Oceania
458629500,United States,F,North America
926748741,Brazil,M,South America
347845120,Netherlands,M,Europe
302953466,Brazil,F,South America
825456334,,M,
467012510,,F,
704671268,Sweden,M,Europe
993089157,United Kingdom,F,Europe
386933579,Brazil,F,South America
373231541,Brazil,M,South America
623047161,United States,M,North America
261375273,Spain,F,Europe
442571096,,M,
617892328,,M,
696818016,Brazil,F,South America
597983902,Brazil,M,South America
61227083,Brazil,F,South America
240346933,,M,
658572123,Brazil,M,South America
788028660,,F,
203786985,Poland,M,Europe
682180414,Brazil,F,South America
541649570,Brazil,M,South America
854425816,,M,
929673734,Canada,F,North America
307199662,Spain,M,Europe
548014966,Italy,F,Europe
98805094,Canada,F,North America
394164186,United States,M,North America
20111928,Indonesia,F,Asia
75288110,Netherlands,M,Europe
228072980,United Kingdom,F,Europe
407874828,United States,M,North America
911007038,United States,F,North America
997728268,Brazil,M,South America
350480882,United States,M,North America
467276076,,F,
426149416,Brazil,M,South America
766166157,Brazil,F,South America
746242493,Angola,M,Africa
548728918,Brazil,F,South America
17517954,United States,M,North America
145622721,United Kingdom,F,Europe
431614855,Serbia,M,Europe
374949395,Russian Federation,F,Europe
534879517,Brazil,M,South America
764102261,Turkey,M,Asia
111388648,,F,
196241151,,M,
288953347,,F,
269822706,,M,
231414824,,F,
848301330,,M,
359765311,,F,
271994801,,F,
910979348,Brazil,F,South America
847754591,,M,
249624315,,F,
699193057,Netherlands,F,Europe
831815982,,F,
834431773,Brazil,M,South America
980606446,Maldives,F,Asia
319763772,,M,
729742518,Canada,F,North America
473555979,,M,
306542680,"Iran, Islamic Republic of",F,Asia
444631185,Brazil,M,South America
805361388,Brazil,M,South America
175884756,Greece,M,Europe
183937672,Brazil,F,South America
394677965,Brazil,M,South America
150576872,Canada,F,North America
103351916,,F,
424987558,Canada,M,North America
348365620,,M,
499645049,United States,F,North America
24697515,,M,
472470487,,F,
984511413,Brazil,M,South America
823718273,Brazil,M,South America
241447197,,M,
769856409,United States,M,North America
128354403,Brazil,F,South America
374826297,Brazil,M,South America
130568489,United Kingdom,F,Europe
28244446,,M,
953677844,Brazil,M,South America
904629239,,F,
627240566,Brazil,M,South America
604640850,Brazil,M,South America
487579712,Brazil,F,South America
149827167,Brazil,M,South America
315505338,Brazil,M,South America
807072818,Brazil,M,South America
575423086,Mexico,M,North America
495859702,,F,
759958602,United States,M,North America
30854394,Brazil,M,South America
186138230,Brazil,M,South America
484744179,,F,
669811019,,M,
872391201,,M,
70686075,Antarctica,F,Antarctica
907491463,Brazil,M,South America
78572614,,F,
702265992,Morocco,M,Africa
589259605,,M,
116445201,Brazil,M,South America
302395039,,M,
965329969,,M,
600147624,,F,
607019220,Argentina,M,South America
204779983,Brazil,F,South America
42132947,,M,
973275811,Uganda,F,Africa
11057974,,M,
274814652,,F,
160462826,,F,
14435318,,M,
935778037,Brazil,M,South America
303854602,,M,
301236901,Brazil,M,South America
45571893,Brazil,M,South America
447270669,United States,F,North America
337735204,,F,
877976289,,F,
227135978,,M,
851000487,Brazil,F,South America
669925927,France,M,Europe
575964745,Ireland,F,Europe
519690366,Argentina,F,South America
332387518,Japan,M,Asia
79915733,Brazil,F,South America
230499818,,M,
580917218,Turkey,M,Asia
26769607,United States,F,North America
702996047,Brazil,M,South America
188314401,,M,
436472879,Argentina,F,South America
687093092,United States,M,North America
433898662,,F,
939048525,Brazil,M,South America
208414100,,F,
668283839,United States,M,North America
649756573,United Kingdom,F,Europe
21933269,Brazil,M,South America
236673611,,F,
174736310,Malaysia,F,Asia
185908392,United States,M,North America
87863719,,F,
311457540,Brazil,M,South America
188579146,,F,
824781880,Argentina,M,South America
459749083,,M,
871722267,Brazil,M,South America
479371108,Philippines,M,Asia
848905464,,M,
578986025,India,F,Asia
655572190,United States,M,North America
172134228,,F,
764281895,,M,
681222849,United Kingdom,M,Europe
558393239,,F,
862373008,,F,
961734442,Sweden,M,Europe
31490999,Brazil,F,South America
276520759,Russian Federation,M,Europe
630914809,United States,M,North America
409965622,,M,
73490608,Brazil,M,South America
148605874,United Kingdom,M,Europe
403320875,,F,
154397011,,F,
484751,Brazil,M,South America
355676408,,F,
516611053,New Zealand,F,Oceania
45107983,United States,F,North America
999405880,United States,M,North America
637200987,,F,
699480245,Japan,M,Asia
186383226,Brazil,F,South America
19661873,United States,F,North America
556825317,,M,
911431703,Austria,M,Europe
498635799,,F,
846973146,Brazil,M,South America
836235835,,F,
762232490,Australia,F,Oceania
241766579,Sweden,F,Europe
808251353,Brazil,M,South America
652116387,Israel,F,Asia
77356380,Philippines,F,Asia
643546357,United States,M,North America
357297156,Australia,F,Oceania
342685566,,F,
400421982,Iraq,F,Asia
250995113,Germany,M,Europe
221643732,India,F,Asia
900957686,United States,M,North America
575805382,France,F,Europe
280396251,Brazil,M,South America
523895342,,M,
176078239,,M,
869960757,Brazil,M,South America
837499590,,F,
377048904,,M,
848098888,Brazil,F,South America
220093829,Canada,M,North America
814169423,Mexico,M,North America
276749506,Germany,M,Europe
395990581,Brazil,M,South America
52291242,United Kingdom,M,Europe
119545990,United States,M,North America
772655130,India,M,Asia
523181733,,F,
75266098,,M,
355493528,,M,
61115576,,F,
282710931,Russian Federation,M,Europe
264094937,,F,
867430751,Philippines,M,Asia
113089606,South Georgia and the South Sandwich Islands,F,South America
399279058,Italy,M,Europe
180942007,,M,
354329357,,M,
266948072,United States,M,North America
949896373,,M,
38671696,Brazil,M,South America
220376856,Portugal,M,Europe
19300375,Poland,M,Europe
363371364,United States,M,North America
958252559,Singapore,M,Asia
693269886,,F,
931832210,,M,
704047712,Spain,F,Europe
332545802,Poland,M,Europe
742912173,,M,
154509710,Brazil,M,South America
656271367,,M,
971404031,Brazil,F,South America
894659731,Greece,F,Europe
977410339,India,F,Asia
730263140,,M,
593899544,Brazil,F,South America
534573732,United Kingdom,M,Europe
123269169,New Zealand,M,Oceania
100006244,,F,
198171859,,M,
630564751,Brazil,F,South America
741908437,Brazil,M,South America
83043504,,M,
340281003,Chile,F,South America
629800525,,F,
106890758,Brazil,M,South America
456344876,Brazil,F,South America
309094075,,M,
96122091,United Kingdom,F,Europe
65110709,,M,
608966278,United States,M,North America
901124502,Brazil,F,South America
34195845,,M,
245314237,,F,
627053171,Brazil,M,South America
991995656,Brazil,F,South America
212401548,,F,
721421784,,M,
845806248,Brazil,F,South America
850239015,Finland,M,Europe
822664270,India,M,Asia
112961223,United States,M,North America
83683366,Brazil,M,South America
399137381,,M,
781891657,Brazil,F,South America
98644841,Sweden,M,Europe
468663142,South Africa,F,Africa
216195785,,F,
807007692,,M,
600599298,,M,
458489410,Malaysia,F,Asia
64536492,France,M,Europe
792689588,Netherlands,F,Europe
688562157,United States,M,North America
105163937,,M,
862334840,,M,
557706802,,F,
136017293,Thailand,M,Asia
710237922,Brazil,F,South America
494972855,Brazil,F,South America
510880038,Brazil,F,South America
960374331,Brazil,F,South America
531701084,Australia,M,Oceania
970233812,Sweden,M,Europe
267498612,Ireland,M,Europe
554506600,Chile,M,South America
156511074,Brazil,M,South America
223628071,,F,
339356251,,M,
562345157,Brazil,F,South America
964156535,Argentina,M,South America
204419221,India,F,Asia
11583687,Sweden,M,Europe
682601983,Brazil,M,South America
427279705,Philippines,F,Asia
934894942,,M,
909315696,Japan,M,Asia
307596105,Brazil,F,South America
123409142,Brazil,M,South America
442559152,Canada,M,North America
158581559,,M,
442409093,,F,
612557961,Brazil,M,South America
748267095,Mexico,F,North America
486469359,Brazil,F,South America
172014215,,F,
577006946,United States,M,North America
661080350,Austria,F,Europe
812362503,Brazil,F,South America
387169763,,F,
540482019,Brazil,F,South America
133176294,,M,
405301437,United Kingdom,F,Europe
427898002,,F,
594791079,Canada,M,North America
834896521,Switzerland,M,Europe
203343082,Brazil,M,South America
904626620,Brazil,M,South America
202188523,Brazil,F,South America
527156227,,M,
261996131,United Kingdom,F,Europe
851172185,United States,F,North America
552792099,Brazil,M,South America
506552963,United States,M,North America
117399125,Brazil,M,South America
583135378,,M,
782387234,,F,
971914738,United Kingdom,M,Europe
561066171,Ireland,F,Europe
435828393,Brazil,F,South America
637987339,Spain,M,Europe
42086110,Brazil,M,South America
553108171,,F,
210347481,Australia,M,Oceania
972640761,Canada,F,North America
887293647,Brazil,M,South America
181268041,Brazil,F,South America
602079193,,F,
997886170,Brazil,M,South America
690734731,Brazil,F,South America
84811987,Brazil,M,South America
154759629,,F,
17300476,United States,M,North America
124531050,Brazil,F,South America
236570605,Mexico,M,North America
746434722,Brazil,M,South America
897681958,Estonia,F,Europe
474124402,Brazil,M,South America
233868357,Brazil,F,South America
697057044,Mexico,M,North America
431707305,Brazil,F,South America
694478845,Brazil,M,South America
241493796,Netherlands,M,Europe
867751435,Nigeria,F,Africa
857442811,Russian Federation,F,Europe
424998044,Brazil,F,South America
9125143,United States,M,North America
596426546,United States,F,North America
287472518,United States,F,North America
613734621,Brazil,F,South America
652017962,Portugal,M,Europe
565087716,,M,
708450361,,F,
523953489,,M,
308159483,,F,
518544082,New Zealand,M,Oceania
559506857,United Kingdom,M,Europe
766818133,,M,
730443071,,M,
490776248,Brazil,M,South America
999839889,Mexico,M,North America
534448549,Belgium,F,Europe
724863055,Spain,M,Europe
12110991,Greece,F,Europe
520685001,,F,
699956753,Brazil,M,South America
706018228,United States,F,North America
196433766,Brazil,M,South America
598185841,United Kingdom,M,Europe
667406133,United States,F,North America
692739317,United Kingdom,F,Europe
582737702,Brazil,M,South America
219098744,Brazil,M,South America
289964474,Canada,M,North America
776053035,Netherlands,M,Europe
68417515,Australia,F,Oceania
720712312,Brazil,M,South America
848663339,Brazil,F,South America
959810125,United States,F,North America
36498027,,F,
407424596,Australia,F,Oceania
34430786,Brazil,F,South America
811374181,Brazil,M,South America
790086586,United States,M,North America
644230183,Philippines,M,Asia
774306391,,M,
91661338,Colombia,M,South America
475097598,Mexico,M,North America
200327528,,M,
582417148,United Kingdom,M,Europe
339415094,"Korea, Republic of",F,Asia
529747239,Brazil,M,South America
208091540,,M,
154291720,Philippines,M,Asia
554739026,Namibia,M,Africa
630937367,Ukraine,F,Europe
521131515,Brazil,M,South America
875979127,Brazil,M,South America
441612010,Brazil,M,South America
703193268,Brazil,M,South America
578897743,Brazil,M,South America
643297908,Brazil,F,South America
663940994,Brazil,F,South America
617877670,,F,
21591737,Brazil,M,South America
794683108,United States,M,North America
356590165,Brazil,M,South America
248903920,Brazil,M,South America
69785473,Brazil,M,South America
400980637,Brazil,F,South America
289613720,Mexico,M,North America
520872973,United States,M,North America
130145835,,F,
847373947,India,M,Asia
487054115,Germany,M,Europe
132920226,,M,
600150832,Russian Federation,M,Europe
620766440,Brazil,F,South America
866852420,Brazil,M,South America
414920426,,F,
569239877,Chile,M,South America
49786225,United States,F,North America
401510222,United States,M,North America
428852850,Brazil,M,South America
422353428,Colombia,F,South America
236488963,Hong Kong,F,Asia
328746157,,M,
497527535,Brazil,M,South America
588513025,Brazil,M,South America
210989604,Peru,M,South America
419480369,Brazil,M,South America
304725740,United States,M,North America
830827216,Finland,M,Europe
314096369,Brazil,F,South America
859805482,Brazil,M,South America
650131503,Brazil,M,South America
856502725,Portugal,F,Europe
404477072,South Georgia and the South Sandwich Islands,M,South America
254359585,Brazil,M,South America
224279004,Brazil,F,South America
151652962,United States,M,North America
215042498,Brazil,F,South America
414629043,Brazil,F,South America
367530143,Brazil,F,South America
415428578,United States,M,North America
810801317,Paraguay,F,South America
272542887,Brazil,M,South America
289830513,Australia,M,Oceania
119436169,,M,
510947407,Brazil,M,South America
652541947,,M,
364949287,Australia,M,Oceania
141881171,United States,M,North America
230835960,Brazil,F,South America
536972826,Brazil,F,South America
510465454,United Kingdom,F,Europe
230938746,United States,M,North America
41215474,Brazil,F,South America
598746000,United States,M,North America
947942389,United States,F,North America
267381173,Slovakia,F,Europe
991635544,United States,M,North America
27008772,United States,F,North America
768917920,United Kingdom,M,Europe
941539833,Brazil,F,South America
159619752,Poland,M,Europe
829465861,United States,F,North America
239163958,,M,
85796029,Brazil,F,South America
135356120,Czech Republic,M,Europe
408949700,China,F,Asia
782354565,Brazil,M,South America
708821713,Brazil,M,South America
771295334,,F,
398314071,Greece,M,Europe
673975618,Brazil,M,South America
421003026,Brazil,M,South America
921880647,,M,
336182719,Viet Nam,M,Asia
75380555,United States,M,North America
18907075,Canada,F,North America
867437957,France,M,Europe
968316797,Ukraine,F,Europe
122861110,Russian Federation,M,Europe
471227059,,M,
731521901,Germany,M,Europe
307514583,,M,
382941760,Turkey,M,Asia
698825545,Malaysia,F,Asia
98633565,Colombia,M,South America
672654812,United States,F,North America
777260424,Brazil,M,South America
835159889,Brazil,F,South America
37835993,Brazil,M,South America
150599009,Brazil,F,South America
325407698,,M,
423659823,Brazil,F,South America
349292468,Brazil,F,South America
733616013,United States,M,North America
892302573,Brazil,F,South America
23766639,Brazil,M,South America
399536383,Brazil,M,South America
328580139,Brazil,F,South America
176827946,Brazil,M,South America
92249086,Brazil,F,South America
352514710,Brazil,F,South America
560684289,Brazil,M,South America
836855531,,M,
97787426,,M,
574490339,,M,
84864042,Brazil,M,South America
821264936,Brazil,M,South America
756806624,Brazil,F,South America
115863578,Poland,M,Europe
475062318,Antarctica,M,Antarctica
691255743,Australia,F,Oceania
386277395,Brazil,F,South America
463626873,Sweden,F,Europe
439658633,Brazil,M,South America
408381380,Turkey,M,Asia
327180997,Brazil,M,South America
269644306,Portugal,M,Europe
197879950,Brazil,M,South America
654878946,Nicaragua,F,North America
213564264,Brazil,M,South America
770905498,Brazil,F,South America
922905897,Brazil,M,South America
431090954,Brazil,M,South America
626826067,Poland,M,Europe
969945038,United States,F,North America
20738421,,M,
578213445,Brazil,F,South America
157180391,,M,
833990046,Brazil,M,South America
769219414,Brazil,M,South America
526140495,Brazil,M,South America
396292691,Brazil,M,South America
878850329,Canada,M,North America
519967567,Tajikistan,F,Asia
680472983,Viet Nam,M,Asia
913858732,Brazil,M,South America
591725549,United States,M,North America
446545827,Brazil,M,South America
604833137,Brazil,M,South America
144661104,United Kingdom,M,Europe
331621100,Brazil,F,South America
232169184,Portugal,M,Europe
217580904,Peru,F,South America
232362318,United States,F,North America
397692616,Argentina,F,South America
677736403,Brazil,M,South America
707545880,Spain,M,Europe
311578682,,F,
267839582,Brazil,M,South America
419751993,Brazil,F,South America
513906281,Brazil,M,South America
243692612,,M,
106819600,Philippines,M,Asia
13600360,,F,
353298217,Brazil,F,South America
640435433,Brazil,M,South America
720671972,Brazil,M,South America
101786340,Brazil,M,South America
665061285,Brazil,F,South America
169653590,United Kingdom,M,Europe
160901822,Brazil,M,South America
560384525,Brazil,F,South America
514514439,Brazil,M,South America
280296495,Brazil,F,South America
815227013,,M,
833409976,Mexico,F,North America
730727366,Netherlands,M,Europe
528273867,Brazil,M,South America
741006291,Brazil,F,South America
212896182,Lithuania,M,Europe
491232074,Brazil,F,South America
726422706,United States,M,North America
509204610,,F,
626148755,Brazil,F,South America
292717249,Brazil,F,South America
52858742,Brazil,M,South America
683291125,Brazil,M,South America
484744331,Brazil,F,South America
363957277,Brazil,M,South America
119400898,Brazil,F,South America
533632444,Brazil,M,South America
225990996,United Kingdom,F,Europe
567344312,,M,
512887621,,M,
604300069,Brazil,F,South America
811868323,,F,
937120933,Brazil,M,South America
702397445,,M,
538599328,Argentina,M,South America
570097285,"Virgin Islands, British",M,North America
771201864,Canada,F,North America
692161371,Germany,F,Europe
727891275,Brazil,M,South America
187041276,,M,
357396493,United States,F,North America
218263305,Brazil,F,South America
241888180,Brazil,F,South America
912844056,Brazil,M,South America
653296128,Brazil,M,South America
185979649,Brazil,M,South America
334687036,Brazil,F,South America
891127034,Antarctica,M,Antarctica
466851862,Brazil,M,South America
841572168,Brazil,F,South America
715198773,Brazil,M,South America
634761541,Serbia,M,Europe
607545939,Brazil,M,South America
709805595,"Korea, Republic of",F,Asia
679236989,Germany,F,Europe
467278790,Brazil,M,South America
898500158,Brazil,F,South America
383231191,,M,
513924715,United States,F,North America
257632389,Brazil,M,South America
539134008,Netherlands,F,Europe
394368697,Poland,M,Europe
157195665,,M,
940205707,Colombia,F,South America
96288363,Peru,M,South America
433535555,Brazil,M,South America
430881191,Russian Federation,M,Europe
905354625,,M,
901770424,Finland,M,Europe
12416100,Brazil,F,South America
224200988,,M,
209148971,,M,
178879434,Chile,F,South America
633576722,Russian Federation,M,Europe
948212512,Russian Federation,M,Europe
580474414,Brazil,M,South America
55571986,Brazil,F,South America
865388438,Indonesia,M,Asia
630696172,,F,
142868744,Brazil,M,South America
486450547,,M,
790457365,Brazil,M,South America
423298947,Brazil,M,South America
332367026,Brazil,M,South America
510715328,Poland,M,Europe
88671698,China,M,Asia
812606014,Brazil,M,South America
759635694,Brazil,M,South America
375200187,United Kingdom,M,Europe
714245873,Greenland,M,North America
771890566,Brazil,M,South America
124713838,Australia,M,Oceania
683535995,Gibraltar,M,Europe
630372372,Brazil,F,South America
773104319,Brazil,M,South America
945141767,Germany,F,Europe
552915580,,M,
644944901,Brazil,M,South America
893743131,Brazil,M,South America
963006057,Brazil,M,South America
60548414,United States,F,North America
470101861,Brazil,F,South America
832990786,Brazil,F,South America
114349590,United Kingdom,M,Europe
584504679,Canada,F,North America
382514130,Australia,M,Oceania
442485331,Brazil,M,South America
304619766,United Kingdom,F,Europe
839257985,Brazil,F,South America
129272772,,F,
676116345,Germany,M,Europe
308421170,Mexico,F,North America
946312682,,M,
304179100,Brazil,M,South America
410673636,,M,
726233696,Morocco,F,Africa
713240130,Brazil,M,South America
523974457,Brazil,F,South America
794197549,Brazil,M,South America
516668603,Brazil,M,South America
388753459,Brazil,F,South America
846931679,Brazil,F,South America
869402693,Brazil,M,South America
310573580,Brazil,M,South America
417530678,Brazil,F,South America
582679734,,M,
769039656,Brazil,F,South America
311763122,Brazil,M,South America
651894987,Brazil,M,South America
553903790,Brazil,F,South America
301273357,Brazil,M,South America
125699393,United States,M,North America
400685695,,M,
450523282,Brazil,M,South America
188097264,United States,M,North America
628898763,Iceland,M,Europe
533553365,United Kingdom,F,Europe
945287711,Italy,M,Europe
18227588,United Kingdom,F,Europe
260711847,Brazil,M,South America
203170740,Brazil,M,South America
876955051,Brazil,M,South America
700403451,,M,
387877251,Brazil,M,South America
767348079,Brazil,M,South America
234727261,,F,
517236494,Poland,M,Europe
238308806,Antarctica,M,Antarctica
596434930,,M,
312650346,United Kingdom,F,Europe
298392596,China,M,Asia
58089709,Russian Federation,M,Europe
549394772,Indonesia,M,Asia
595993754,Brazil,M,South America
387977048,Brazil,M,South America
761188355,France,M,Europe
304242091,Canada,F,North America
929795847,Brazil,M,South America
310042172,Spain,F,Europe
935151168,Brazil,M,South America
503946361,Russian Federation,M,Europe
44088130,Brazil,F,South America
634058682,Brazil,F,South America
546600151,United States,F,North America
634809378,Brazil,M,South America
324826831,Brazil,M,South America
590867520,Norway,F,Europe
872468824,Brazil,M,South America
662314368,Brazil,M,South America
634199419,Russian Federation,F,Europe
647439791,Brazil,M,South America
876333861,Brazil,F,South America
