movieId,providerId,genres
1,1,Adventure|Animation|Children|Comedy|Fantasy
2,2,Adventure|Children|Fantasy
3,3,Comedy|Romance
4,4,Comedy|Drama|Romance
5,5,Comedy
6,6,Action|Crime|Thriller
7,7,Comedy|Romance
8,8,Adventure|Children
9,9,Action
10,10,Action|Adventure|Thriller
12,11,Comedy|Horror
13,12,Adventure|Animation|Children
14,13,Drama
15,14,Action|Adventure|Romance
16,15,Crime|Drama
17,16,Drama|Romance
18,17,Comedy
19,18,Comedy
20,19,Action|Comedy|Crime|Drama|Thriller
21,20,Comedy|Crime|Thriller
22,21,Crime|Drama|Horror|Mystery|Thriller
23,22,Action|Crime|Thriller
24,23,Drama|Sci-Fi
25,24,Drama|Romance
26,11,Drama
27,25,Children|Drama
28,26,Drama|Romance
31,27,Drama
34,15,Children|Drama
35,28,Drama|Romance
36,29,Crime|Drama
37,30,Documentary|IMAX
38,31,Children|Comedy
39,32,Comedy|Romance
40,33,Drama
41,34,Drama|War
42,35,Action|Crime|Drama
43,17,Drama
44,25,Action|Adventure|Fantasy
45,36,Comedy|Drama|Thriller
46,15,Drama|Romance
48,8,Animation|Children|Drama|Musical|Romance
48,37,Animation|Children|Drama|Musical|Romance
48,38,Animation|Children|Drama|Musical|Romance
49,39,Drama|Romance
51,40,Action|Drama|Thriller
52,41,Comedy|Drama|Romance
53,42,Adventure|Drama
55,17,Drama
56,43,Adventure|Children|Comedy|Fantasy
57,44,Drama
61,32,Drama|Thriller
62,23,Drama
63,45,Comedy|Crime
65,46,Comedy
66,25,Action|Sci-Fi|Thriller
67,17,Drama
69,25,Comedy
70,47,Action|Comedy|Horror|Thriller
71,48,Action
72,49,Comedy|Drama
74,25,Drama|Romance
75,18,Comedy|Drama
76,50,Action|Sci-Fi|Thriller
77,51,Documentary
81,17,Crime|Drama|Romance
84,52,Comedy|Drama
85,53,Drama|Romance
86,23,Action|Adventure|Drama
87,54,Children|Comedy
88,32,Comedy
89,32,Action|Thriller
90,17,Drama
92,55,Drama|Horror|Thriller
93,32,Comedy|Horror|Romance
94,17,Comedy|Drama|Romance
95,56,Action|Adventure|Thriller
98,57,Action|Thriller
99,58,Documentary
100,11,Drama|Thriller
101,59,Adventure|Comedy|Crime|Romance
102,5,Comedy
103,22,Mystery|Sci-Fi|Thriller
104,15,Comedy
107,8,Adventure|Children|Comedy|Musical
110,60,Action|Drama|War
111,61,Crime|Drama|Thriller
111,62,Crime|Drama|Thriller
113,23,Drama|Mystery
114,63,Drama
118,2,Comedy|Romance
120,2,Adventure|Comedy|Drama
122,32,Comedy|Romance
129,64,Comedy|Romance
130,65,Drama
131,66,Drama|Romance
132,32,Thriller
