,Adventure,Animation,Children,Comedy,Fantasy,Romance,Action,Crime,Thriller,Horror,Drama,War,Western,Sci-Fi,Musical,Mystery,Film-Noir,IMAX,Documentary
1,0.11864406779661017,0.03389830508474576,0.05508474576271186,0.13135593220338984,0.07203389830508475,0.038135593220338986,0.1271186440677966,0.0635593220338983,0.07838983050847458,0.0211864406779661,0.1016949152542373,0.03389830508474576,0.012711864406779662,0.05296610169491525,0.03177966101694915,0.025423728813559324,0.00211864406779661,0.0,0.0
5,0.0784313725490196,0.058823529411764705,0.0784313725490196,0.12745098039215685,0.049019607843137254,0.06862745098039216,0.0784313725490196,0.08823529411764706,0.06862745098039216,0.0,0.16666666666666666,0.029411764705882353,0.0196078431372549,0.0196078431372549,0.049019607843137254,0.0,0.0,0.0196078431372549,0.0
7,0.1130952380952381,0.03571428571428571,0.03571428571428571,0.11011904761904762,0.047619047619047616,0.0625,0.13392857142857142,0.05952380952380952,0.08035714285714286,0.008928571428571428,0.11904761904761904,0.026785714285714284,0.002976190476190476,0.08630952380952381,0.020833333333333332,0.026785714285714284,0.005952380952380952,0.023809523809523808,0.0
15,0.1286549707602339,0.05555555555555555,0.049707602339181284,0.07017543859649122,0.03216374269005848,0.029239766081871343,0.12573099415204678,0.03508771929824561,0.09941520467836257,0.023391812865497075,0.12280701754385964,0.011695906432748537,0.005847953216374269,0.14035087719298245,0.011695906432748537,0.02046783625730994,0.0,0.038011695906432746,0.0
17,0.10303030303030303,0.030303030303030304,0.024242424242424242,0.09090909090909091,0.03636363636363636,0.030303030303030304,0.10909090909090909,0.10909090909090909,0.07878787878787878,0.0,0.15757575757575756,0.048484848484848485,0.012121212121212121,0.06666666666666667,0.01818181818181818,0.03636363636363636,0.012121212121212121,0.030303030303030304,0.006060606060606061
18,0.09940944881889764,0.021653543307086614,0.024606299212598427,0.10236220472440945,0.03641732283464567,0.031496062992125984,0.13582677165354332,0.09055118110236221,0.1141732283464567,0.010826771653543307,0.1515748031496063,0.012795275590551181,0.005905511811023622,0.0797244094488189,0.00984251968503937,0.0344488188976378,0.005905511811023622,0.0265748031496063,0.005905511811023622
19,0.09025787965616046,0.025071633237822348,0.050143266475644696,0.21203438395415472,0.04656160458452722,0.08094555873925502,0.07808022922636103,0.03796561604584527,0.1010028653295129,0.05300859598853868,0.08595988538681948,0.0057306590257879654,0.0071633237822349575,0.06876790830945559,0.022922636103151862,0.029369627507163324,0.00501432664756447,0.0,0.0
21,0.1337890625,0.0458984375,0.04296875,0.1455078125,0.0458984375,0.05078125,0.1640625,0.05078125,0.08984375,0.009765625,0.06640625,0.005859375,0.0029296875,0.08203125,0.009765625,0.009765625,0.001953125,0.0419921875,0.0
27,0.13356164383561644,0.0684931506849315,0.1232876712328767,0.11643835616438356,0.05821917808219178,0.06506849315068493,0.0821917808219178,0.017123287671232876,0.03424657534246575,0.00684931506849315,0.11643835616438356,0.0273972602739726,0.017123287671232876,0.0821917808219178,0.0410958904109589,0.00684931506849315,0.0,0.003424657534246575,0.0
31,0.11458333333333333,0.052083333333333336,0.0625,0.16666666666666666,0.07291666666666667,0.11458333333333333,0.09375,0.03125,0.07291666666666667,0.020833333333333332,0.08333333333333333,0.0,0.0,0.052083333333333336,0.052083333333333336,0.010416666666666666,0.0,0.0,0.0
32,0.05357142857142857,0.011904761904761904,0.02976190476190476,0.17261904761904762,0.03571428571428571,0.125,0.10119047619047619,0.07142857142857142,0.11904761904761904,0.005952380952380952,0.17857142857142858,0.011904761904761904,0.005952380952380952,0.02976190476190476,0.011904761904761904,0.02976190476190476,0.0,0.0,0.005952380952380952
33,0.026785714285714284,0.026785714285714284,0.03125,0.17857142857142858,0.017857142857142856,0.16071428571428573,0.026785714285714284,0.0625,0.05803571428571429,0.0,0.3169642857142857,0.026785714285714284,0.004464285714285714,0.008928571428571428,0.022321428571428572,0.017857142857142856,0.008928571428571428,0.004464285714285714,0.0
40,0.09045226130653267,0.04020100502512563,0.06532663316582915,0.16080402010050251,0.020100502512562814,0.09045226130653267,0.10050251256281408,0.05527638190954774,0.05527638190954774,0.010050251256281407,0.1658291457286432,0.01507537688442211,0.03015075376884422,0.05025125628140704,0.035175879396984924,0.005025125628140704,0.0,0.010050251256281407,0.0
43,0.10384615384615385,0.046153846153846156,0.08076923076923077,0.13076923076923078,0.04230769230769231,0.08076923076923077,0.10384615384615385,0.05,0.08846153846153847,0.015384615384615385,0.12692307692307692,0.011538461538461539,0.011538461538461539,0.05,0.046153846153846156,0.0038461538461538464,0.0,0.007692307692307693,0.0
44,0.13978494623655913,0.043010752688172046,0.03225806451612903,0.1935483870967742,0.03225806451612903,0.07526881720430108,0.15053763440860216,0.03225806451612903,0.11827956989247312,0.010752688172043012,0.0967741935483871,0.0,0.0,0.053763440860215055,0.010752688172043012,0.010752688172043012,0.0,0.0,0.0
45,0.09574468085106383,0.031914893617021274,0.05186170212765957,0.23138297872340424,0.043882978723404256,0.0678191489361702,0.08776595744680851,0.041223404255319146,0.07845744680851063,0.013297872340425532,0.11835106382978723,0.014627659574468085,0.003989361702127659,0.07047872340425532,0.02526595744680851,0.015957446808510637,0.0,0.006648936170212766,0.0013297872340425532
46,0.11764705882352941,0.0392156862745098,0.0392156862745098,0.10784313725490197,0.0196078431372549,0.058823529411764705,0.14705882352941177,0.0784313725490196,0.11764705882352941,0.0,0.10784313725490197,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.00980392156862745,0.0,0.00980392156862745,0.0
50,0.10896309314586995,0.054481546572934976,0.05799648506151142,0.12478031634446397,0.05272407732864675,0.0421792618629174,0.10017574692442882,0.04745166959578207,0.08260105448154657,0.0210896309314587,0.13708260105448156,0.01054481546572935,0.007029876977152899,0.056239015817223195,0.02460456942003515,0.022847100175746926,0.0035149384885764497,0.033391915641476276,0.012302284710017574
54,0.08433734939759036,0.04819277108433735,0.07228915662650602,0.1686746987951807,0.03614457831325301,0.060240963855421686,0.08433734939759036,0.060240963855421686,0.0963855421686747,0.0,0.14457831325301204,0.03614457831325301,0.012048192771084338,0.03614457831325301,0.03614457831325301,0.0,0.0,0.024096385542168676,0.0
57,0.10020876826722339,0.025052192066805846,0.028183716075156576,0.15031315240083507,0.0407098121085595,0.07933194154488518,0.12317327766179541,0.04488517745302714,0.09290187891440502,0.011482254697286013,0.1336116910229645,0.025052192066805846,0.013569937369519834,0.06993736951983298,0.024008350730688934,0.026096033402922755,0.008350730688935281,0.003131524008350731,0.0
63,0.10479573712255773,0.03907637655417407,0.04085257548845471,0.14209591474245115,0.046181172291296625,0.04440497335701599,0.12788632326820604,0.06571936056838366,0.0852575488454707,0.017761989342806393,0.12078152753108348,0.021314387211367674,0.0,0.0674955595026643,0.012433392539964476,0.02486678507992895,0.007104795737122558,0.02664298401420959,0.0053285968028419185
64,0.06932773109243698,0.025210084033613446,0.03466386554621849,0.16806722689075632,0.0430672268907563,0.0819327731092437,0.07457983193277311,0.0661764705882353,0.09138655462184873,0.03466386554621849,0.16596638655462184,0.018907563025210083,0.008403361344537815,0.04411764705882353,0.023109243697478993,0.03676470588235294,0.0031512605042016808,0.005252100840336135,0.005252100840336135
66,0.06759098786828423,0.01386481802426343,0.022530329289428077,0.19410745233968804,0.0415944540727903,0.0779896013864818,0.10918544194107452,0.07625649913344887,0.0831889081455806,0.02079722703639515,0.17677642980935876,0.019064124783362217,0.01386481802426343,0.05025996533795494,0.005199306759098787,0.022530329289428077,0.0034662045060658577,0.0017331022530329288,0.0
68,0.08705975464978236,0.02453502176493866,0.03205381875741987,0.15789473684210525,0.03957261574990107,0.08389394538979027,0.11713494261970717,0.05263157894736842,0.09457855164226356,0.027305104867431738,0.13494261970716265,0.015037593984962405,0.007123070834982192,0.06133755441234666,0.015829046299960427,0.02295211713494262,0.001187178472497032,0.01780767708745548,0.007123070834982192
71,0.1375,0.0125,0.0625,0.0875,0.0375,0.075,0.175,0.0625,0.125,0.0,0.1125,0.0125,0.0,0.0625,0.0125,0.025,0.0,0.0,0.0
73,0.10699588477366255,0.047325102880658436,0.047325102880658436,0.21810699588477367,0.04526748971193416,0.06172839506172839,0.11522633744855967,0.0411522633744856,0.059670781893004114,0.00823045267489712,0.10493827160493827,0.00823045267489712,0.00411522633744856,0.05761316872427984,0.00823045267489712,0.02263374485596708,0.0,0.043209876543209874,0.0
76,0.06557377049180328,0.03278688524590164,0.045081967213114756,0.11065573770491803,0.040983606557377046,0.040983606557377046,0.0860655737704918,0.09836065573770492,0.12704918032786885,0.036885245901639344,0.13524590163934427,0.020491803278688523,0.01639344262295082,0.06147540983606557,0.020491803278688523,0.040983606557377046,0.0,0.01639344262295082,0.004098360655737705
78,0.15492957746478872,0.007042253521126761,0.02112676056338028,0.1619718309859155,0.02112676056338028,0.035211267605633804,0.18309859154929578,0.06338028169014084,0.1267605633802817,0.02112676056338028,0.06338028169014084,0.02112676056338028,0.007042253521126761,0.08450704225352113,0.007042253521126761,0.007042253521126761,0.0,0.014084507042253521,0.0
