provider_id,recommender_id,profit,cycle,fee,clicks,shows,connected_recommenders,controlled,experiment_id,random_seed
6,popular_1_exp_0_seed_None,3779.94,1,735.06,4726,26246,2,general,0,
6,popular_2_exp_0_seed_None,0.0,1,0.0,0,0,2,general,0,
9,popular_1_exp_0_seed_None,2176.23,1,428.27,2797,14857,2,general,0,
9,popular_2_exp_0_seed_None,0.0,1,0.0,0,0,2,general,0,
10,popular_1_exp_0_seed_None,626.52,1,119.47999999999999,748,4468,2,general,0,
10,popular_2_exp_0_seed_None,0.0,1,0.0,0,0,2,general,0,
4,popular_1_exp_0_seed_None,2137.3799999999997,1,416.82,2690,14782,2,general,0,
4,popular_2_exp_0_seed_None,0.0,1,0.0,0,0,2,general,0,
5,popular_1_exp_0_seed_None,2024.2500000000005,1,395.85,2564,13945,2,general,0,
5,popular_2_exp_0_seed_None,0.0,1,0.0,0,0,2,general,0,
1,popular_1_exp_0_seed_None,526.2900000000001,1,104.41,689,3551,2,niche,0,
1,popular_2_exp_0_seed_None,0.0,1,0.0,0,0,2,niche,0,
3,popular_1_exp_0_seed_None,460.23,1,91.47,605,3097,2,general,0,
3,popular_2_exp_0_seed_None,0.0,1,0.0,0,0,2,general,0,
8,popular_1_exp_0_seed_None,441.17999999999995,1,86.22,558,3042,2,general,0,
8,popular_2_exp_0_seed_None,0.0,1,0.0,0,0,2,general,0,
2,popular_1_exp_0_seed_None,436.08000000000004,1,85.12,550,3012,2,general,0,
2,popular_2_exp_0_seed_None,0.0,1,0.0,0,0,2,general,0,
7,popular_1_exp_0_seed_None,440.70000000000005,1,86.9,569,3000,2,general,0,
7,popular_2_exp_0_seed_None,0.0,1,0.0,0,0,2,general,0,
6,popular_1_exp_0_seed_None,3743.73,2,748.57,4989,24967,2,general,0,
6,popular_2_exp_0_seed_None,4.800000000000001,2,1.0,7,30,2,general,0,
9,popular_1_exp_0_seed_None,2065.92,2,416.08000000000004,2798,13628,2,general,0,
9,popular_2_exp_0_seed_None,1.9200000000000002,2,0.28,1,18,2,general,0,
10,popular_1_exp_0_seed_None,381.6,2,76.2,507,2550,2,general,0,
10,popular_2_exp_0_seed_None,204.72,2,41.28,278,1348,2,general,0,
4,popular_1_exp_0_seed_None,2046.93,2,406.97,2693,13767,2,general,0,
4,popular_2_exp_0_seed_None,202.56,2,39.64,257,1394,2,general,0,
5,popular_1_exp_0_seed_None,2035.38,2,407.02,2713,13572,2,general,0,
5,popular_2_exp_0_seed_None,7.2,2,1.2000000000000002,6,60,2,general,0,
1,popular_1_exp_0_seed_None,382.95,2,77.55,525,2505,2,niche,0,
1,popular_2_exp_0_seed_None,977.34,2,195.66,1306,6506,2,niche,0,
3,popular_1_exp_0_seed_None,356.43,2,70.67,466,2407,2,general,0,
3,popular_2_exp_0_seed_None,9.629999999999999,2,2.0700000000000003,15,57,2,general,0,
8,popular_1_exp_0_seed_None,338.55,2,66.95,440,2295,2,general,0,
8,popular_2_exp_0_seed_None,5.91,2,1.19,8,39,2,general,0,
2,popular_1_exp_0_seed_None,341.46,2,67.94,450,2294,2,general,0,
