experiment_name,recommender_id,category,frequency
Experiment_1,popular_1_exp_Experiment_1_seed_42,Drama,31828
Experiment_1,popular_1_exp_Experiment_1_seed_42,Crime,23175
Experiment_1,popular_1_exp_Experiment_1_seed_42,Thriller,15591
Experiment_1,popular_1_exp_Experiment_1_seed_42,Documentary,777
Experiment_1,popular_1_exp_Experiment_1_seed_42,Adventure,4058
Experiment_1,popular_1_exp_Experiment_1_seed_42,Action,5435
Experiment_1,popular_1_exp_Experiment_1_seed_42,Comedy,38994
Experiment_1,popular_1_exp_Experiment_1_seed_42,Romance,13236
Experiment_1,popular_1_exp_Experiment_1_seed_42,Children,1142
Experiment_1,popular_1_exp_Experiment_1_seed_42,Animation,1141
Experiment_1,popular_1_exp_Experiment_1_seed_42,Horror,12329
Experiment_1,popular_1_exp_Experiment_1_seed_42,Fantasy,1508
Experiment_1,popular_1_exp_Experiment_1_seed_42,IMAX,358
Experiment_1,popular_1_exp_Experiment_1_seed_42,Mystery,1076
Experiment_1,popular_1_exp_Experiment_1_seed_42,Film-Noir,170
Experiment_1,popular_1_exp_Experiment_1_seed_42,Sci-Fi,1675
Experiment_1,popular_1_exp_Experiment_1_seed_42,War,1502
Experiment_1,popular_1_exp_Experiment_1_seed_42,Musical,517
Experiment_1,popular_1_exp_Experiment_1_seed_42,Western,10984
Experiment_1,popular_1_exp_Experiment_1_seed_42,(no genres listed),494
