provider_id,recommender_id,profit,cycle,fee,clicks,shows,connected_recommenders,controlled,experiment_id,random_seed
9,popular_1_exp_0_seed_None,2122.8600000000006,1,419.74,2758,14394,1,general,0,
8,popular_1_exp_0_seed_None,2198.61,1,419.69000000000005,2631,15659,1,general,0,
6,popular_1_exp_0_seed_None,3682.32,1,719.2800000000001,4652,25408,1,general,0,
4,popular_1_exp_0_seed_None,590.7,1,113.30000000000001,715,4180,1,general,0,
1,popular_1_exp_0_seed_None,470.73,1,94.77000000000001,637,3107,1,niche,0,
3,popular_1_exp_0_seed_None,475.56,1,90.44,564,3404,1,general,0,
10,popular_1_exp_0_seed_None,448.79999999999995,1,86.0,542,3180,1,general,0,
7,popular_1_exp_0_seed_None,447.84000000000003,1,85.16,531,3206,1,general,0,
2,popular_1_exp_0_seed_None,2050.4700000000003,1,397.03,2538,14323,1,general,0,
5,popular_1_exp_0_seed_None,453.5100000000001,1,88.39,570,3139,1,general,0,
9,popular_1_exp_0_seed_None,2228.1900000000005,2,437.90999999999997,2855,15241,1,general,0,
8,popular_1_exp_0_seed_None,2142.2400000000002,2,407.56,2543,15326,1,general,0,
6,popular_1_exp_0_seed_None,3932.79,2,767.51,4958,27171,1,general,0,
4,popular_1_exp_0_seed_None,416.61,2,80.09,507,2939,1,general,0,
1,popular_1_exp_0_seed_None,396.03,2,77.87,508,2707,1,niche,0,
3,popular_1_exp_0_seed_None,446.79,2,85.91000000000001,544,3151,1,general,0,
10,popular_1_exp_0_seed_None,395.01000000000005,2,75.89,480,2789,1,general,0,
7,popular_1_exp_0_seed_None,402.00000000000006,2,78.2,503,2790,1,general,0,
2,popular_1_exp_0_seed_None,2163.63,2,418.47,2671,15137,1,general,0,
5,popular_1_exp_0_seed_None,407.91,2,80.99000000000001,535,2749,1,general,0,
9,popular_1_exp_0_seed_None,2204.25,3,429.65000000000003,2771,15255,1,general,0,
8,popular_1_exp_0_seed_None,2160.1200000000003,3,414.08000000000004,2611,15298,1,general,0,
6,popular_1_exp_0_seed_None,3921.15,3,761.1500000000001,4882,27295,1,general,0,
4,popular_1_exp_0_seed_None,404.01000000000005,3,79.49000000000001,519,2759,1,general,0,
1,popular_1_exp_0_seed_None,415.11,3,82.39000000000001,544,2799,1,niche,0,
3,popular_1_exp_0_seed_None,425.07,3,81.43,513,3013,1,general,0,
10,popular_1_exp_0_seed_None,396.75,3,76.15,481,2805,1,general,0,
7,popular_1_exp_0_seed_None,411.96000000000004,3,78.64,493,2934,1,general,0,
2,popular_1_exp_0_seed_None,2185.59,3,425.91,2746,15131,1,general,0,
5,popular_1_exp_0_seed_None,398.19000000000005,3,78.51,514,2711,1,general,0,
9,popular_1_exp_0_seed_None,2239.65,4,441.25,2886,15265,1,general,0,
8,popular_1_exp_0_seed_None,2142.3900000000003,4,409.51,2572,15231,1,general,0,
6,popular_1_exp_0_seed_None,3938.55,4,768.55,4964,27215,1,general,0,
4,popular_1_exp_0_seed_None,408.6,4,79.0,504,2860,1,general,0,
1,popular_1_exp_0_seed_None,418.41,4,83.49000000000001,555,2799,1,niche,0,
3,popular_1_exp_0_seed_None,434.31,4,82.79,518,3099,1,general,0,
10,popular_1_exp_0_seed_None,404.19,4,77.31,486,2871,1,general,0,
7,popular_1_exp_0_seed_None,401.9100000000001,4,76.59,479,2869,1,general,0,
2,popular_1_exp_0_seed_None,2168.13,4,420.37,2692,15117,1,general,0,
5,popular_1_exp_0_seed_None,377.76000000000005,4,72.44,457,2674,1,general,0,
9,popular_1_exp_0_seed_None,2219.01,5,432.29,2786,15369,1,general,0,
8,popular_1_exp_0_seed_None,2136.0,5,407.0,2545,15250,1,general,0,
6,popular_1_exp_0_seed_None,3951.0,5,772.8000000000001,5007,27210,1,general,0,
4,popular_1_exp_0_seed_None,410.1,5,81.10000000000001,533,2780,1,general,0,
1,popular_1_exp_0_seed_None,431.73,5,84.97,555,2947,1,niche,0,
3,popular_1_exp_0_seed_None,417.75,5,78.75,485,3025,1,general,0,
10,popular_1_exp_0_seed_None,399.17999999999995,5,76.22,478,2842,1,general,0,
7,popular_1_exp_0_seed_None,396.39000000000004,5,75.51,472,2831,1,general,0,
2,popular_1_exp_0_seed_None,2163.4800000000005,5,420.12,2696,15052,1,general,0,
5,popular_1_exp_0_seed_None,399.06000000000006,5,79.14,522,2694,1,general,0,
9,popular_1_exp_0_seed_None,2214.6,6,431.6,2783,15330,1,general,0,
8,popular_1_exp_0_seed_None,2171.85,6,417.85,2648,15305,1,general,0,
6,popular_1_exp_0_seed_None,3929.9400000000005,6,764.26,4914,27286,1,general,0,
4,popular_1_exp_0_seed_None,414.72,6,80.88,522,2868,1,general,0,
1,popular_1_exp_0_seed_None,420.06000000000006,6,81.74000000000001,526,2914,1,niche,0,
3,popular_1_exp_0_seed_None,410.0400000000001,6,77.76,483,2946,1,general,0,
10,popular_1_exp_0_seed_None,386.88,6,73.32,455,2782,1,general,0,
7,popular_1_exp_0_seed_None,416.73,6,80.57000000000001,514,2917,1,general,0,
2,popular_1_exp_0_seed_None,2176.59,6,425.11,2749,15021,1,general,0,
5,popular_1_exp_0_seed_None,378.39000000000004,6,73.51,472,2631,1,general,0,
9,popular_1_exp_0_seed_None,2240.1600000000003,7,440.44000000000005,2873,15314,1,general,0,
8,popular_1_exp_0_seed_None,2182.05,7,421.85,2691,15275,1,general,0,
6,popular_1_exp_0_seed_None,3886.380000000001,7,750.8199999999999,4785,27232,1,general,0,
4,popular_1_exp_0_seed_None,412.14000000000004,7,80.06,514,2866,1,general,0,
1,popular_1_exp_0_seed_None,414.69000000000005,7,80.21000000000001,512,2901,1,niche,0,
3,popular_1_exp_0_seed_None,426.03000000000003,7,81.07,506,3047,1,general,0,
10,popular_1_exp_0_seed_None,402.75,7,77.55000000000001,492,2835,1,general,0,
7,popular_1_exp_0_seed_None,405.4200000000001,7,78.78,506,2818,1,general,0,
2,popular_1_exp_0_seed_None,2152.0200000000004,7,417.38,2674,14998,1,general,0,
5,popular_1_exp_0_seed_None,396.06000000000006,7,77.74000000000001,506,2714,1,general,0,
9,popular_1_exp_0_seed_None,2237.16,8,438.03999999999996,2842,15384,1,general,0,
8,popular_1_exp_0_seed_None,2169.45,8,416.05,2625,15355,1,general,0,
6,popular_1_exp_0_seed_None,3963.6600000000003,8,771.94,4973,27464,1,general,0,
4,popular_1_exp_0_seed_None,389.31000000000006,8,75.19,479,2729,1,general,0,
1,popular_1_exp_0_seed_None,404.82000000000005,8,78.78,507,2808,1,niche,0,
3,popular_1_exp_0_seed_None,411.21000000000004,8,77.49000000000001,477,2979,1,general,0,
10,popular_1_exp_0_seed_None,403.11,8,78.78999999999999,510,2779,1,general,0,
7,popular_1_exp_0_seed_None,409.4100000000001,8,78.09,489,2919,1,general,0,
