consumer_id,consumer_type,preferences
1,Generic,"[0.025641026, 0.025641026, 0.16666667, 0.17948718, 0.12820514, 0.012820513, 0.0, 0.20512821, 0.025641026, 0.0, 0.0, 0.115384616, 0.0, 0.051282052, 0.025641026, 0.012820513, 0.025641026, 0.0]"
2,Generic,"[0.1928934, 0.07614213, 0.0, 0.0, 0.0964467, 0.04568528, 0.0, 0.25888324, 0.005076142, 0.005076142, 0.010152284, 0.0, 0.015228426, 0.07614213, 0.05076142, 0.10659899, 0.04568528, 0.015228426]"
3,Generic,"[0.17741935, 0.19354838, 0.016129032, 0.016129032, 0.30645162, 0.0, 0.0, 0.08064516, 0.0, 0.0, 0.016129032, 0.0, 0.016129032, 0.016129032, 0.048387095, 0.016129032, 0.0, 0.09677419]"
4,Generic,"[0.36666667, 0.06666667, 0.0, 0.033333335, 0.0, 0.0, 0.0, 0.13333334, 0.033333335, 0.0, 0.06666667, 0.0, 0.0, 0.0, 0.16666667, 0.1, 0.033333335, 0.0]"
5,Generic,"[0.07511737, 0.018779343, 0.0093896715, 0.0093896715, 0.18779343, 0.056338027, 0.0093896715, 0.30985916, 0.0, 0.0093896715, 0.037558686, 0.0, 0.018779343, 0.09389672, 0.04225352, 0.09859155, 0.018779343, 0.0046948357]"
6,Generic,"[0.057377048, 0.040983606, 0.040983606, 0.07377049, 0.22131148, 0.008196721, 0.0, 0.13114753, 0.008196721, 0.0, 0.0, 0.09836066, 0.0, 0.22131148, 0.008196721, 0.024590164, 0.016393442, 0.04918033]"
7,Generic,"[0.35, 0.1, 0.0, 0.0, 0.05, 0.016666668, 0.0, 0.083333336, 0.0, 0.0, 0.0, 0.0, 0.016666668, 0.05, 0.13333334, 0.16666667, 0.033333335, 0.0]"
8,Generic,"[0.11881188, 0.02970297, 0.014851485, 0.014851485, 0.074257426, 0.044554457, 0.0, 0.3960396, 0.0, 0.0, 0.004950495, 0.0, 0.014851485, 0.0990099, 0.04950495, 0.0990099, 0.034653466, 0.004950495]"
9,Generic,"[0.07751938, 0.03875969, 0.03875969, 0.031007752, 0.13178295, 0.062015504, 0.007751938, 0.27906978, 0.0, 0.007751938, 0.007751938, 0.0, 0.007751938, 0.1007752, 0.054263566, 0.11627907, 0.031007752, 0.007751938]"
10,Generic,"[0.090443686, 0.081911266, 0.029010238, 0.061433446, 0.22013652, 0.018771332, 0.0, 0.14334472, 0.042662118, 0.005119454, 0.022184301, 0.034129694, 0.011945393, 0.08361775, 0.090443686, 0.030716723, 0.022184301, 0.011945393]"
11,Generic,"[0.04375, 0.0375, 0.0, 0.0125, 0.375, 0.025, 0.0125, 0.2375, 0.00625, 0.0, 0.01875, 0.0125, 0.00625, 0.10625, 0.01875, 0.05625, 0.025, 0.00625]"
