provider_id,provider_type
84941,Generic
112261,Generic
61999,Generic
544,Generic
111692,Generic
91433,Generic
118339,Generic
94517,Generic
35459,Generic
20409,Generic
6233,Generic
23465,Generic
62435,Generic
114667,Generic
72322,Generic
72351,Generic
73499,Generic
24930,Generic
56041,Generic
76680,Generic
30836,Generic
50249,Generic
53416,Generic
76622,Generic
31602,Generic
36325,Generic
48917,Generic
101246,Generic
32477,Generic
82608,Generic
5803,Generic
70163,Generic
19900,Generic
109637,Generic
5559,Generic
81364,Generic
68066,Generic
5269,Generic
70813,Generic
33936,Generic
54659,Generic
118866,Generic
65468,Generic
20413,Generic
42726,Generic
121778,Generic
55413,Generic
85265,Generic
56317,Generic
75097,Generic
117930,Generic
39163,Generic
10924,Generic
46272,Generic
52030,Generic
54602,Generic
80315,Generic
123489,Generic
113481,Generic
96295,Generic
56095,Generic
112125,Generic
43166,Generic
22325,Generic
26279,Generic
52495,Generic
106986,Generic
27794,Generic
82720,Generic
53806,Generic
109111,Generic
1085,Generic
74400,Generic
40425,Generic
5050,Generic
104742,Generic
108675,Generic
54972,Generic
114442,Generic
95091,Generic
120490,Generic
59203,Generic
324,Generic
48938,Generic
71313,Generic
64309,Generic
37179,Generic
48035,Generic
46081,Generic
94034,Generic
55265,Generic
42791,Niche
116860,Generic
12029,Generic
58715,Generic
40181,Generic
45922,Generic
5557,Generic
85654,Generic
92776,Generic
86382,Generic
44324,Generic
71023,Generic
78037,Generic
62785,Generic
112413,Generic
82574,Generic
13022,Generic
6426,Generic
109225,Generic
76841,Generic
110006,Generic
52638,Generic
112575,Generic
54710,Generic
10331,Generic
59894,Generic
20633,Generic
122300,Generic
41946,Generic
62633,Generic
120913,Generic
20105,Generic
109061,Generic
59202,Generic
112408,Generic
17146,Generic
113478,Generic
22270,Generic
76515,Generic
110182,Generic
91677,Generic
82542,Generic
36410,Generic
18328,Generic
100560,Generic
12653,Generic
110129,Generic
80941,Generic
8575,Generic
27444,Generic
111901,Generic
96701,Generic
92716,Generic
93755,Generic
12343,Generic
118527,Generic
49082,Generic
31795,Niche
68220,Generic
89168,Generic
70004,Generic
31686,Generic
46327,Generic
99274,Generic
13134,Generic
102162,Generic
