provider_id,recommender_id,profit,cycle,fee,clicks,shows,connected_recommenders,controlled,experiment_id,random_seed
5,popular_1_exp_0_seed_None,1409.55,1,275.15000000000003,1778,9735,1,general,0,
1,popular_1_exp_0_seed_None,458.73,1,91.97,615,3047,1,niche,0,
4,popular_1_exp_0_seed_None,1402.6499999999999,1,274.45,1779,9655,1,general,0,
2,popular_1_exp_0_seed_None,1390.5,1,271.1,1749,9620,1,general,0,
6,popular_1_exp_0_seed_None,1372.2,1,266.0,1703,9570,1,general,0,
8,popular_1_exp_0_seed_None,1397.94,1,272.26,1754,9686,1,general,0,
3,popular_1_exp_0_seed_None,1403.2800000000002,1,273.52,1764,9712,1,general,0,
7,popular_1_exp_0_seed_None,1428.3300000000002,1,282.57,1858,9677,1,general,0,
10,popular_1_exp_0_seed_None,1402.5,1,274.70000000000005,1783,9640,1,general,0,
9,popular_1_exp_0_seed_None,1397.2200000000003,1,272.58,1760,9658,1,general,0,
5,popular_1_exp_0_seed_None,501.03,2,91.47,537,3777,1,general,0,
1,popular_1_exp_0_seed_None,0.0,2,0.0,0,0,1,niche,0,
4,popular_1_exp_0_seed_None,2612.67,2,481.03000000000003,2861,19493,1,general,0,
2,popular_1_exp_0_seed_None,3164.28,2,576.52,3374,23912,1,general,0,
6,popular_1_exp_0_seed_None,2300.61,2,424.69000000000005,2536,17109,1,general,0,
8,popular_1_exp_0_seed_None,932.0400000000001,2,180.36,1152,6516,1,general,0,
3,popular_1_exp_0_seed_None,1314.8400000000001,2,234.36,1324,10196,1,general,0,
7,popular_1_exp_0_seed_None,874.8300000000002,2,166.27,1036,6267,1,general,0,
10,popular_1_exp_0_seed_None,1283.8200000000002,2,228.78000000000003,1292,9958,1,general,0,
9,popular_1_exp_0_seed_None,1825.4700000000003,2,332.63,1947,13793,1,general,0,
5,popular_1_exp_0_seed_None,1011.9300000000001,3,194.76999999999998,1235,7127,1,general,0,
1,popular_1_exp_0_seed_None,0.0,3,0.0,0,0,1,niche,0,
4,popular_1_exp_0_seed_None,1626.75,3,300.95000000000005,1803,12065,1,general,0,
2,popular_1_exp_0_seed_None,3262.59,3,609.3100000000001,3702,23911,1,general,0,
6,popular_1_exp_0_seed_None,3153.4500000000003,3,598.6500000000001,3724,22625,1,general,0,
8,popular_1_exp_0_seed_None,465.18,3,92.42,611,3132,1,general,0,
3,popular_1_exp_0_seed_None,630.9300000000001,3,104.77000000000001,520,5277,1,general,0,
7,popular_1_exp_0_seed_None,1667.4300000000003,3,330.87,2184,11247,1,general,0,
10,popular_1_exp_0_seed_None,658.1700000000001,3,112.53,591,5343,1,general,0,
9,popular_1_exp_0_seed_None,1511.82,3,277.98,1650,11298,1,general,0,
5,popular_1_exp_0_seed_None,1550.37,4,304.93,1990,10593,1,general,0,
1,popular_1_exp_0_seed_None,213.57000000000005,4,41.33,264,1493,1,niche,0,
4,popular_1_exp_0_seed_None,2104.11,4,394.39,2409,15349,1,general,0,
2,popular_1_exp_0_seed_None,2229.96,4,412.84000000000003,2476,16524,1,general,0,
6,popular_1_exp_0_seed_None,2293.56,4,434.44000000000005,2694,16504,1,general,0,
8,popular_1_exp_0_seed_None,455.09999999999997,4,87.7,557,3200,1,general,0,
3,popular_1_exp_0_seed_None,1108.1999999999998,4,206.60000000000002,1252,8140,1,general,0,
7,popular_1_exp_0_seed_None,1188.6,4,235.4,1550,8040,1,general,0,
10,popular_1_exp_0_seed_None,1594.1400000000003,4,300.06,1844,11566,1,general,0,
9,popular_1_exp_0_seed_None,912.06,4,166.94,984,6854,1,general,0,
5,popular_1_exp_0_seed_None,1266.8700000000001,5,245.03,1564,8863,1,general,0,
1,popular_1_exp_0_seed_None,496.53,5,93.97,582,3577,1,niche,0,
4,popular_1_exp_0_seed_None,717.5700000000002,5,119.53,597,5983,1,general,0,
2,popular_1_exp_0_seed_None,2322.33,5,420.97,2444,17657,1,general,0,
6,popular_1_exp_0_seed_None,2932.7999999999997,5,551.4,3383,21310,1,general,0,
8,popular_1_exp_0_seed_None,435.27,5,84.03,535,3053,1,general,0,
3,popular_1_exp_0_seed_None,1141.14,5,206.06,1189,8716,1,general,0,
7,popular_1_exp_0_seed_None,1625.4600000000003,5,313.74,1997,11404,1,general,0,
10,popular_1_exp_0_seed_None,2363.4900000000002,5,436.40999999999997,2607,17571,1,general,0,
9,popular_1_exp_0_seed_None,600.48,5,103.52000000000001,552,4832,1,general,0,
5,popular_1_exp_0_seed_None,1159.83,6,220.26999999999998,1371,8317,1,general,0,
